column,plain_english_meaning,timing,example_values_or_range
icu_mobility_scale_t_minus_1,Synthetic clinical feature.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
planned_wean_minutes_t_minus_2,Synthetic clinical feature.,prior_weaning_history,120; 180; 240; 30; 360; 60; 90
actual_wean_minutes_t_minus_2,Synthetic clinical feature.,prior_weaning_history,2.0 to 414.0
completion_percent_t_minus_2,Synthetic clinical feature.,prior_weaning_history,4.4 to 115.0
weaning_method_t_minus_2,Synthetic clinical feature.,prior_weaning_history,capping_trial; cpap; high_flow_trach; pressure_support; speaking_valve; t_piece; trach_collar
avg_rr_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,10.0 to 43.6
max_rr_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,10.8 to 51.0
avg_hr_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,52.2 to 145.4
max_hr_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,59.4 to 158.0
min_spo2_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,80.1 to 100.0
avg_spo2_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,83.0 to 100.0
max_wob_score_t_minus_2,Synthetic clinical feature.,prior_weaning_history,0; 1; 2; 3; 4
dyspnea_borg_t_minus_2,Synthetic clinical feature.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
diaphoresis_t_minus_2,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
accessory_muscle_use_t_minus_2,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
anxiety_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
physio_during_wean_t_minus_2,Synthetic clinical feature.,prior_weaning_history,No; Yes
icu_mobility_scale_t_minus_2,Synthetic clinical feature.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
planned_wean_minutes_t_minus_3,Synthetic clinical feature.,prior_weaning_history,120; 180; 240; 30; 360; 60; 90
actual_wean_minutes_t_minus_3,Synthetic clinical feature.,prior_weaning_history,3.0 to 359.0
completion_percent_t_minus_3,Synthetic clinical feature.,prior_weaning_history,4.4 to 115.0
weaning_method_t_minus_3,Synthetic clinical feature.,prior_weaning_history,capping_trial; cpap; high_flow_trach; pressure_support; speaking_valve; t_piece; trach_collar
avg_rr_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,10.0 to 43.0
max_rr_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,13.2 to 51.8
avg_hr_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,48.0 to 129.0
max_hr_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,61.7 to 149.9
min_spo2_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,82.0 to 100.0
avg_spo2_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,84.1 to 100.0
max_wob_score_t_minus_3,Synthetic clinical feature.,prior_weaning_history,0; 1; 2; 3; 4
dyspnea_borg_t_minus_3,Synthetic clinical feature.,prior_weaning_history,0; 1; 2; 3; 4; 5; 6; 7; 8; 9
diaphoresis_t_minus_3,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
accessory_muscle_use_t_minus_3,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
anxiety_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
physio_during_wean_t_minus_3,Synthetic clinical feature.,prior_weaning_history,No; Yes
icu_mobility_scale_t_minus_3,Synthetic clinical feature.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
sleep_hours_last_night,Documented hours of sleep the previous night.,pre_trial_or_recent,0.5 to 10.0
sleep_quality_last_night,Documented sleep quality the previous night.,pre_trial_or_recent,fair; good; poor
nighttime_awakenings,Number of documented awakenings overnight.,baseline_or_administrative,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
looked_fatigued_morning,Morning visual assessment of fatigue.,pre_trial_or_recent,mild; moderate; none; severe
reported_fatigue_morning,Patient-reported fatigue in the morning.,pre_trial_or_recent,mild; moderate; none; severe
rass_morning,Morning RASS score.,pre_trial_or_recent,-1; -2; -3; -4; -5; 0; 1; 2; 3
lowest_rass_overnight,Lowest RASS score documented overnight.,pre_trial_or_recent,-1; -2; -3; -4; -5; 0; 1; 2; 3
highest_rass_overnight,Highest RASS score documented overnight.,pre_trial_or_recent,-1; -2; -3; -4; 0; 1; 2; 3; 4
deep_sedation_hours_overnight,Hours overnight with deep sedation.,pre_trial_or_recent,0.0 to 9.1
cam_icu_positive_morning,Morning CAM-ICU result.,pre_trial_or_recent,No; Yes
delirium_present_morning,Documented morning delirium status.,pre_trial_or_recent,No; Yes
anxiety_morning,Morning anxiety severity.,pre_trial_or_recent,mild; moderate; none; severe
benzodiazepine_last_24h,Benzodiazepine exposure in last 24 hours.,pre_trial_or_recent,No; Yes
opioid_mme_last_24h,Total opioid exposure in morphine milligram equivalents in last 24 hours.,pre_trial_or_recent,0.0 to 120.4
propofol_rate_morning,Propofol rate before today's trial.,pre_trial_or_recent,0.0 to 33.9
dexmedetomidine_rate_morning,Dexmedetomidine rate before today's trial.,pre_trial_or_recent,0.0 to 0.83
antipsychotic_last_24h,Antipsychotic exposure in last 24 hours.,pre_trial_or_recent,No; Yes
pain_score_morning,Morning pain score from 0 to 10.,pre_trial_or_recent,0; 1; 2; 3; 4; 5; 6; 7; 8; 9
vent_mode_before_trial,Ventilator mode before today's planned trial.,pre_trial_or_recent,ACVC; PCV; PRVC; SIMV; pressure_support
fio2_before_trial,FiO2 before today's planned trial.,pre_trial_or_recent,0.21 to 0.63
peep_before_trial,PEEP before today's planned trial.,pre_trial_or_recent,3.0 to 15.0
pressure_support_before_trial,Pressure support before today's planned trial.,pre_trial_or_recent,5.0 to 23.0
spo2_morning,Morning SpO2 before today's planned trial.,pre_trial_or_recent,86.0 to 100.0
respiratory_rate_morning,Morning respiratory rate before today's planned trial.,pre_trial_or_recent,8.0 to 35.4
tidal_volume_ml_morning,Morning tidal volume in millilitres.,pre_trial_or_recent,220.0 to 744.3
minute_ventilation_morning,Morning minute ventilation.,pre_trial_or_recent,2.0 to 19.4
etco2_morning,Morning end-tidal carbon dioxide.,pre_trial_or_recent,20.0 to 62.3
paco2_recent,Most recent PaCO2.,pre_trial_or_recent,25.0 to 72.3
ph_recent,Most recent pH.,pre_trial_or_recent,7.25 to 7.53
bicarbonate_recent,Most recent bicarbonate.,pre_trial_or_recent,12.9 to 38.8
pao2_fio2_ratio_recent,Most recent PaO2/FiO2 ratio.,pre_trial_or_recent,70.0 to 459.7
peak_pressure_before_trial,Peak airway pressure before today's trial.,pre_trial_or_recent,12.0 to 45.7
plateau_pressure_recent,Most recent plateau pressure.,pre_trial_or_recent,10.0 to 34.5
driving_pressure_recent,Most recent driving pressure.,pre_trial_or_recent,3.0 to 26.8
auto_peep_suspected,Clinician suspicion of auto-PEEP.,baseline_or_administrative,No; Yes
cough_strength_morning,Morning cough strength assessment.,pre_trial_or_recent,absent; moderate; strong; weak
secretion_burden_morning,Morning secretion burden assessment.,pre_trial_or_recent,copious; mild; minimal; moderate
sputum_character,Sputum character category.,baseline_or_administrative,bloody; frothy; thick_white; thin_clear; yellow_green
suctioning_frequency_last_24h,Number of suctioning episodes in last 24 hours.,pre_trial_or_recent,0.0 to 16.0
airway_patency_concern,Documented concern about airway patency.,baseline_or_administrative,No; Yes
bloody_secretions,Presence of bloody secretions.,baseline_or_administrative,No; Yes
mucus_plug_history,History of mucus plugging during the ICU stay.,baseline_or_administrative,No; Yes
wob_score_morning,Morning work-of-breathing score from 0 to 4.,pre_trial_or_recent,0; 1; 2; 3; 4
accessory_muscle_use_morning,Morning accessory muscle use severity.,pre_trial_or_recent,mild; moderate; none; severe
paradoxical_breathing_morning,Morning paradoxical breathing status.,pre_trial_or_recent,No; Yes
diaphoresis_morning,Morning diaphoresis severity.,pre_trial_or_recent,mild; moderate; none; severe
dyspnea_borg_morning,Morning Borg-style dyspnea score from 0 to 10.,pre_trial_or_recent,0; 1; 2; 3; 4; 5; 6; 7; 8
can_follow_commands_morning,Whether the patient could follow commands in the morning.,pre_trial_or_recent,No; Yes
active_wheeze_morning,Morning wheeze severity.,pre_trial_or_recent,mild; moderate; none; severe
bronchodilator_frequency_last_24h,Bronchodilator frequency in last 24 hours.,pre_trial_or_recent,continuous; none; q2h; q4h; q6h
copd_exacerbation_active,Whether COPD exacerbation is active.,baseline_or_administrative,No; Yes
asthma_exacerbation_active,Whether asthma exacerbation is active.,baseline_or_administrative,No; Yes
air_trapping_suspected,Clinician suspicion of air trapping.,baseline_or_administrative,No; Yes
lowest_sbp_overnight,Lowest systolic blood pressure overnight.,pre_trial_or_recent,55.0 to 148.0
highest_hr_overnight,Highest heart rate overnight.,pre_trial_or_recent,55.0 to 167.0
mean_hr_overnight,Mean heart rate overnight.,pre_trial_or_recent,45.0 to 121.0
new_arrhythmia_overnight,New arrhythmia documented overnight.,pre_trial_or_recent,No; Yes
vasopressor_dose_morning,Morning norepinephrine-equivalent vasopressor dose.,pre_trial_or_recent,0.0 to 0.253
fluid_balance_24h_ml,Fluid balance over the last 24 hours.,baseline_or_administrative,-2500.0 to 3530.0
fluid_balance_72h_ml,Fluid balance over the last 72 hours.,baseline_or_administrative,-5000.0 to 9398.0
urine_output_24h_ml,Urine output over the last 24 hours.,baseline_or_administrative,50.0 to 4166.0
diuretic_given_last_24h,Whether a diuretic was given in last 24 hours.,pre_trial_or_recent,No; Yes
peripheral_edema_morning,Morning peripheral edema severity.,pre_trial_or_recent,mild; moderate; none; severe
cxr_pulmonary_edema_recent,Recent chest X-ray pulmonary edema severity.,pre_trial_or_recent,mild; moderate; none; severe
bnp_category,Recent BNP category.,baseline_or_administrative,elevated; normal; not_measured; very_high
ejection_fraction_category,Recent or known ejection fraction category.,baseline_or_administrative,mildly_reduced; moderately_reduced; normal; severely_reduced; unknown
sepsis,Documented sepsis status.,baseline_or_administrative,No; Yes
septic_shock,Documented septic shock status.,baseline_or_administrative,No; Yes
temperature_morning,Morning temperature in degrees Celsius.,pre_trial_or_recent,34.8 to 39.7
wbc_recent,Most recent white blood cell count.,pre_trial_or_recent,1.0 to 28.2
lactate_recent,Most recent lactate.,pre_trial_or_recent,0.4 to 4.9
source_of_infection,Suspected or documented source of infection.,baseline_or_administrative,abdominal; line; none; pneumonia; skin_soft_tissue; unknown; urinary
antibiotics_active,Whether active antibiotics are being administered.,baseline_or_administrative,No; Yes
blood_culture_positive,Whether blood culture was positive.,baseline_or_administrative,No; Yes
hemoglobin_recent,Most recent hemoglobin.,pre_trial_or_recent,55.0 to 165.0
sodium_recent,Most recent sodium.,pre_trial_or_recent,123.2 to 153.9
potassium_recent,Most recent potassium.,pre_trial_or_recent,2.5 to 5.6
magnesium_recent,Most recent magnesium.,pre_trial_or_recent,0.35 to 1.48
phosphate_recent,Most recent phosphate.,pre_trial_or_recent,0.25 to 1.75
calcium_recent,Most recent calcium.,pre_trial_or_recent,1.61 to 2.74
glucose_recent,Most recent glucose.,pre_trial_or_recent,3.0 to 17.9
creatinine_recent,Most recent creatinine.,pre_trial_or_recent,25.0 to 268.2
bun_recent,Most recent blood urea nitrogen.,pre_trial_or_recent,2.0 to 30.4
albumin_recent,Most recent albumin.,pre_trial_or_recent,12.0 to 46.3
calorie_adequacy_percent_last_72h,Estimated calorie adequacy over last 72 hours.,pre_trial_or_recent,7.1 to 130.0
protein_adequacy_percent_last_72h,Estimated protein adequacy over last 72 hours.,pre_trial_or_recent,0.0 to 129.7
days_without_enteral_nutrition,Days without enteral nutrition.,baseline_or_administrative,0; 1; 2; 3; 4; 5; 6; 7
feeding_route,Primary feeding route.,baseline_or_administrative,NG; OG; PEG; TPN; none; oral
aspiration_risk,Documented aspiration risk.,baseline_or_administrative,high; low; moderate
icu_acquired_weakness_suspected,Whether ICU-acquired weakness was suspected.,baseline_or_administrative,No; Yes
mrc_sum_score_recent,Recent Medical Research Council sum score.,pre_trial_or_recent,10.0 to 60.0
grip_strength_kg_recent,Recent grip strength in kilograms.,pre_trial_or_recent,0.0 to 43.3
mobility_level_yesterday,Highest mobility level documented yesterday.,prior_weaning_history,bedbound; independent; sits_edge_bed; stands; walks_with_assist
icu_mobility_scale_yesterday,ICU Mobility Scale score documented yesterday.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
physio_yesterday,Whether physiotherapy occurred yesterday.,prior_weaning_history,No; Yes
fvc_ml_recent,Recent forced vital capacity in millilitres.,pre_trial_or_recent,250.0 to 3385.0
fvc_percent_predicted_recent,Recent FVC as percent predicted.,pre_trial_or_recent,10.0 to 91.8
nif_cmH2O_recent,Recent negative inspiratory force.,pre_trial_or_recent,-66.2 to -5.0
mip_cmH2O_recent,Recent maximal inspiratory pressure.,pre_trial_or_recent,-70.2 to -5.6
mep_cmH2O_recent,Recent maximal expiratory pressure.,pre_trial_or_recent,5.0 to 106.4
cough_peak_flow_l_min_recent,Recent cough peak flow in litres per minute.,pre_trial_or_recent,20.0 to 385.1
rr_15min,Respiratory rate at 15 minutes into today's trial.,early_trial,8.0 to 46.5
hr_15min,Heart rate at 15 minutes into today's trial.,early_trial,45.0 to 159.6
spo2_15min,SpO2 at 15 minutes into today's trial.,early_trial,78.5 to 100.0
sbp_15min,Systolic blood pressure at 15 minutes into today's trial.,early_trial,55.0 to 185.0
fio2_15min,FiO2 at 15 minutes into today's trial.,early_trial,0.21 to 0.66
peep_15min,PEEP at 15 minutes into today's trial.,early_trial,0.0 to 13.0
pressure_support_15min,Pressure support at 15 minutes into today's trial.,early_trial,5.0 to 23.0
wob_score_15min,Work-of-breathing score at 15 minutes into today's trial.,early_trial,0; 1; 2; 3; 4
dyspnea_borg_15min,Borg-style dyspnea score at 15 minutes into today's trial.,early_trial,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
rass_15min,RASS score at 15 minutes into today's trial.,early_trial,-1; -2; -3; -4; -5; 0; 1; 2; 3; 4
anxiety_15min,Anxiety severity at 15 minutes into today's trial.,early_trial,mild; moderate; none; severe
diaphoresis_15min,Diaphoresis severity at 15 minutes into today's trial.,early_trial,mild; moderate; none; severe
accessory_muscle_use_15min,Accessory muscle use severity at 15 minutes into today's trial.,early_trial,mild; moderate; none; severe
patient_asked_to_stop_15min,Whether the patient asked to stop by 15 minutes.,early_trial,No; Yes
physio_started_during_trial,Whether physiotherapy started during today's trial.,early_trial,No; Yes
speaking_valve_used_during_trial,Whether speaking valve was used during today's trial.,early_trial,No; Yes
peep_changed_during_trial,Whether PEEP was changed during today's trial.,early_trial,No; Yes
pressure_support_changed_during_trial,Whether pressure support was changed during today's trial.,early_trial,No; Yes
fio2_increased_during_trial,Whether FiO2 was increased during today's trial.,early_trial,No; Yes
high_flow_added_during_trial,Whether high flow was added during today's trial.,early_trial,No; Yes
actual_wean_minutes_today,Actual duration of today's weaning trial in minutes.,outcome_or_after_trial,2.0 to 379.0
trial_stopped_early_today,Whether today's trial stopped before the planned time.,outcome_or_after_trial,No; Yes
trial_stopped_reason_today,Documented reason today's trial stopped or completed.,outcome_or_after_trial,anxiety; completed; copious_secretions; desaturation; fatigue; hemodynamic_instability; other; tachypnea
post_trial_fatigue_score,Post-trial fatigue score from 0 to 10.,outcome_or_after_trial,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
post_trial_rr,Respiratory rate documented after today's trial.,outcome_or_after_trial,10.0 to 54.8
post_trial_spo2,SpO2 documented after today's trial.,outcome_or_after_trial,75.5 to 100.0
previous_day_post_wean,Free-text respiratory therapist comment describing how the previous day's weaning trial went.,prior_weaning_history,Free text; examples include “Well tolerated. No distress noted.” and blank values.
trial_stopped_reason_t_minus_1,Synthetic clinical feature.,prior_weaning_history,anxiety; completed; desaturation; fatigue; hemodynamic_instability; tachypnea
trial_stopped_reason_t_minus_2,Synthetic clinical feature.,prior_weaning_history,anxiety; completed; desaturation; fatigue; hemodynamic_instability; tachypnea
trial_stopped_reason_t_minus_3,Synthetic clinical feature.,prior_weaning_history,anxiety; completed; desaturation; fatigue; hemodynamic_instability; tachypnea
